,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function
96,random_bb,4,16.0,17,[164.95783085754786],164.95783085754786,172.9382536276803,,,,,,,,,,,,,,,,,
97,random_bb,4,17.0,18,[137.6825662628294],137.6825662628294,172.9382536276803,,,,,,,,,,,,,,,,,
98,random_bb,4,18.0,19,[127.64440554317409],127.64440554317409,172.9382536276803,,,,,,,,,,,,,,,,,
99,random_bb,4,19.0,20,[127.23817967487085],127.23817967487085,172.9382536276803,,,,,,,,,,,,,,,,,
0,0_bb,0,0.0,1,[164.95783085754786],164.95783085754786,164.95783085754786,,,,,,,,,,,,,,,,,
1,0_bb,0,1.0,2,[141.23533652070077],141.23533652070077,164.95783085754786,,,,,,,,,,,,,,,,,
2,0_bb,0,2.0,3,[144.96028373864337],144.96028373864337,164.95783085754786,,,,,,,,,,,,,,,,,
3,0_bb,0,3.0,4,[156.29592045921626],156.29592045921626,164.95783085754786,,,,,,,,,,,,,,,,,
4,0_bb,0,4.0,5,[158.10035989792027],158.10035989792027,164.95783085754786,,,,,,,,,,,,,,,,,
5,0_bb,0,5.0,6,[163.68216005041552],163.68216005041552,164.95783085754786,,,,,,,,,,,,,,,,,
6,0_bb,0,6.0,7,[172.9382536276803],172.9382536276803,172.9382536276803,,,,,,,,,,,,,,,,,
7,0_bb,0,7.0,8,[158.1333799161532],158.1333799161532,172.9382536276803,,,,,,,,,,,,,,,,,
8,0_bb,0,8.0,9,[106.22927448999997],106.22927448999997,172.9382536276803,,,,,,,,,,,,,,,,,
9,0_bb,0,9.0,10,[151.04621599946466],151.04621599946466,172.9382536276803,,,,,,,,,,,,,,,,,
10,0_bb,0,10.0,11,[157.3709982220219],157.3709982220219,172.9382536276803,,,,,,,,,,,,,,,,,
11,0_bb,0,11.0,12,[166.22193370353094],166.22193370353094,172.9382536276803,,,,,,,,,,,,,,,,,
12,0_bb,0,12.0,13,[153.76270622403183],153.76270622403183,172.9382536276803,,,,,,,,,,,,,,,,,
13,0_bb,0,13.0,14,[172.10145777143768],172.10145777143768,172.9382536276803,,,,,,,,,,,,,,,,,
14,0_bb,0,14.0,15,[146.76694916719543],146.76694916719543,172.9382536276803,,,,,,,,,,,,,,,,,
15,0_bb,0,15.0,16,[162.45242842752012],162.45242842752012,172.9382536276803,,,,,,,,,,,,,,,,,
16,0_bb,0,16.0,17,[135.00685581032218],135.00685581032218,172.9382536276803,,,,,,,,,,,,,,,,,
17,0_bb,0,17.0,18,[164.58001172560898],164.58001172560898,172.9382536276803,,,,,,,,,,,,,,,,,
18,0_bb,0,18.0,19,[162.45475186999536],162.45475186999536,172.9382536276803,,,,,,,,,,,,,,,,,
19,0_bb,0,19.0,20,[155.4607999734539],155.4607999734539,172.9382536276803,,,,,,,,,,,,,,,,,
20,0_bb,1,0.0,1,[120.14447039437856],120.14447039437856,120.14447039437856,,,,,,,,,,,,,,,,,
21,0_bb,1,1.0,2,[139.78164266941704],139.78164266941704,139.78164266941704,,,,,,,,,,,,,,,,,
22,0_bb,1,2.0,3,[121.70683253959652],121.70683253959652,139.78164266941704,,,,,,,,,,,,,,,,,
23,0_bb,1,3.0,4,[137.6825662628294],137.6825662628294,139.78164266941704,,,,,,,,,,,,,,,,,
24,0_bb,1,4.0,5,[143.50927187424523],143.50927187424523,143.50927187424523,,,,,,,,,,,,,,,,,
25,0_bb,1,5.0,6,[148.38798148885505],148.38798148885505,148.38798148885505,,,,,,,,,,,,,,,,,
26,0_bb,1,6.0,7,[153.81739983748278],153.81739983748278,153.81739983748278,,,,,,,,,,,,,,,,,
27,0_bb,1,7.0,8,[139.34604170468722],139.34604170468722,153.81739983748278,,,,,,,,,,,,,,,,,
28,0_bb,1,8.0,9,[157.2601275502924],157.2601275502924,157.2601275502924,,,,,,,,,,,,,,,,,
29,0_bb,1,9.0,10,[143.56320631279337],143.56320631279337,157.2601275502924,,,,,,,,,,,,,,,,,
30,0_bb,1,10.0,11,[158.1333799161532],158.1333799161532,158.1333799161532,,,,,,,,,,,,,,,,,
31,0_bb,1,11.0,12,[162.45242842752012],162.45242842752012,162.45242842752012,,,,,,,,,,,,,,,,,
32,0_bb,1,12.0,13,[152.22068911320298],152.22068911320298,162.45242842752012,,,,,,,,,,,,,,,,,
33,0_bb,1,13.0,14,[164.95783085754786],164.95783085754786,164.95783085754786,,,,,,,,,,,,,,,,,
34,0_bb,1,14.0,15,[141.99720450911195],141.99720450911195,164.95783085754786,,,,,,,,,,,,,,,,,
35,0_bb,1,15.0,16,[172.10145777143768],172.10145777143768,172.10145777143768,,,,,,,,,,,,,,,,,
36,0_bb,1,16.0,17,[148.9973261341777],148.9973261341777,172.10145777143768,,,,,,,,,,,,,,,,,
37,0_bb,1,17.0,18,[163.68216005041552],163.68216005041552,172.10145777143768,,,,,,,,,,,,,,,,,
38,0_bb,1,18.0,19,[156.29592045921626],156.29592045921626,172.10145777143768,,,,,,,,,,,,,,,,,
39,0_bb,1,19.0,20,[166.22193370353094],166.22193370353094,172.10145777143768,,,,,,,,,,,,,,,,,
40,0_bb,2,0.0,1,[115.70130494335822],115.70130494335822,115.70130494335822,,,,,,,,,,,,,,,,,
41,0_bb,2,1.0,2,[120.2816580285045],120.2816580285045,120.2816580285045,,,,,,,,,,,,,,,,,
42,0_bb,2,2.0,3,[106.22927448999997],106.22927448999997,120.2816580285045,,,,,,,,,,,,,,,,,
43,0_bb,2,3.0,4,[113.43623595623639],113.43623595623639,120.2816580285045,,,,,,,,,,,,,,,,,
44,0_bb,2,4.0,5,[119.5667350783483],119.5667350783483,120.2816580285045,,,,,,,,,,,,,,,,,
45,0_bb,2,5.0,6,[123.93811332092741],123.93811332092741,123.93811332092741,,,,,,,,,,,,,,,,,
46,0_bb,2,6.0,7,[127.23817967487085],127.23817967487085,127.23817967487085,,,,,,,,,,,,,,,,,
