,Number of data used,Random_Seed,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
10,0,1337,10,11,[157.3709982220219],157.3709982220219,157.3709982220219,
11,0,1337,11,12,[151.04621599946466],151.04621599946466,157.3709982220219,
12,0,1337,12,13,[135.00685581032218],135.00685581032218,157.3709982220219,
13,0,1337,13,14,[119.10061804970184],119.10061804970184,157.3709982220219,
14,0,1337,14,15,[150.35400489203658],150.35400489203658,157.3709982220219,
15,0,1337,15,16,[158.1333799161532],158.1333799161532,158.1333799161532,
16,0,1337,16,17,[143.56320631279337],143.56320631279337,158.1333799161532,
17,0,1337,17,18,[152.22068911320298],152.22068911320298,158.1333799161532,
18,0,1337,18,19,[141.99720450911195],141.99720450911195,158.1333799161532,
19,0,1337,19,20,[162.45242842752012],162.45242842752012,162.45242842752012,
20,0,1337,20,21,[153.7627062240318],153.7627062240318,162.45242842752012,
21,0,1337,21,22,[148.9973261341777],148.9973261341777,162.45242842752012,
22,0,1337,22,23,[133.96956615053998],133.96956615053998,162.45242842752012,
23,0,1337,23,24,[139.34604170468722],139.34604170468722,162.45242842752012,
24,0,1337,24,25,[172.9382536276803],172.9382536276803,172.9382536276803,
25,0,1337,25,26,[172.10145777143768],172.10145777143768,172.9382536276803,
26,0,1337,26,27,[156.29592045921626],156.29592045921626,172.9382536276803,
27,0,1337,27,28,[146.76694916719543],146.76694916719543,172.9382536276803,
28,0,1337,28,29,[139.78164266941704],139.78164266941704,172.9382536276803,
29,0,1337,29,30,[143.75696615970708],143.75696615970708,172.9382536276803,
30,0,1338,0,1,[142.20137342601748],142.20137342601748,142.20137342601748,
31,0,1338,1,2,[141.23533652070077],141.23533652070077,142.20137342601748,
32,0,1338,2,3,[106.22927448999997],106.22927448999997,142.20137342601748,
33,0,1338,3,4,[125.78672619143359],125.78672619143359,142.20137342601748,
34,0,1338,4,5,[113.4362359562364],113.4362359562364,142.20137342601748,
35,0,1338,5,6,[122.0447716941213],122.0447716941213,142.20137342601748,
36,0,1338,6,7,[117.25187832749276],117.25187832749276,142.20137342601748,
37,0,1338,7,8,[147.49402922192442],147.49402922192442,147.49402922192442,
38,0,1338,8,9,[139.77718748970685],139.77718748970685,147.49402922192442,
39,0,1338,9,10,[157.3709982220219],157.3709982220219,157.3709982220219,
40,0,1338,10,11,[151.04621599946466],151.04621599946466,157.3709982220219,
41,0,1338,11,12,[135.00685581032218],135.00685581032218,157.3709982220219,
42,0,1338,12,13,[158.1333799161532],158.1333799161532,158.1333799161532,
43,0,1338,13,14,[150.35400489203658],150.35400489203658,158.1333799161532,
44,0,1338,14,15,[119.10061804970184],119.10061804970184,158.1333799161532,
45,0,1338,15,16,[143.56320631279337],143.56320631279337,158.1333799161532,
46,0,1338,16,17,[139.34604170468722],139.34604170468722,158.1333799161532,
47,0,1338,17,18,[152.22068911320298],152.22068911320298,158.1333799161532,
48,0,1338,18,19,[162.45242842752012],162.45242842752012,162.45242842752012,
49,0,1338,19,20,[141.99720450911195],141.99720450911195,162.45242842752012,
50,0,1338,20,21,[153.7627062240318],153.7627062240318,162.45242842752012,
51,0,1338,21,22,[148.9973261341777],148.9973261341777,162.45242842752012,
52,0,1338,22,23,[133.96956615053998],133.96956615053998,162.45242842752012,
53,0,1338,23,24,[137.6825662628294],137.6825662628294,162.45242842752012,
54,0,1338,24,25,[172.9382536276803],172.9382536276803,172.9382536276803,
55,0,1338,25,26,[172.10145777143768],172.10145777143768,172.9382536276803,
56,0,1338,26,27,[164.95783085754786],164.95783085754786,172.9382536276803,
57,0,1338,27,28,[156.29592045921626],156.29592045921626,172.9382536276803,
58,0,1338,28,29,[146.76694916719543],146.76694916719543,172.9382536276803,
59,0,1338,29,30,[139.78164266941704],139.78164266941704,172.9382536276803,
60,0,1339,0,1,[138.6573753120435],138.6573753120435,138.6573753120435,
61,0,1339,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
62,0,1339,2,3,[106.22927448999997],106.22927448999997,141.23533652070077,
63,0,1339,3,4,[125.78672619143359],125.78672619143359,141.23533652070077,
64,0,1339,4,5,[113.4362359562364],113.4362359562364,141.23533652070077,
65,0,1339,5,6,[122.0447716941213],122.0447716941213,141.23533652070077,
66,0,1339,6,7,[142.20137342601748],142.20137342601748,142.20137342601748,
67,0,1339,7,8,[141.99720450911195],141.99720450911195,142.20137342601748,
68,0,1339,8,9,[157.3709982220219],157.3709982220219,157.3709982220219,
69,0,1339,9,10,[158.1333799161532],158.1333799161532,158.1333799161532,
70,0,1339,10,11,[151.04621599946466],151.04621599946466,158.1333799161532,
71,0,1339,11,12,[150.35400489203658],150.35400489203658,158.1333799161532,
72,0,1339,12,13,[152.22068911320298],152.22068911320298,158.1333799161532,
