,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
10,5,0,10,11,[150.35400489203658],150.35400489203658,158.1333799161532,0.0
11,5,0,11,12,[151.04621599946466],151.04621599946466,158.1333799161532,0.0
12,5,0,12,13,[121.92929330241844],121.92929330241844,158.1333799161532,0.0
13,5,0,13,14,[137.6825662628294],137.6825662628294,158.1333799161532,0.0
14,5,0,14,15,[139.34604170468722],139.34604170468722,158.1333799161532,0.0
15,5,0,15,16,[141.99720450911195],141.99720450911195,158.1333799161532,0.0
16,5,0,16,17,[152.22068911320298],152.22068911320298,158.1333799161532,0.0
17,5,0,17,18,[162.45242842752012],162.45242842752012,162.45242842752012,0.0
18,5,0,18,19,[133.96956615054],133.96956615054,162.45242842752012,0.0
19,5,0,19,20,[153.76270622403183],153.76270622403183,162.45242842752012,0.0
20,5,0,0,1,[106.22927448999997],106.22927448999997,106.22927448999997,1.0
21,5,0,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,1.0
22,5,0,2,3,[147.49402922192442],147.49402922192442,147.49402922192442,1.0
23,5,0,3,4,[119.10061804970184],119.10061804970184,147.49402922192442,1.0
24,5,0,4,5,[122.0447716941213],122.0447716941213,147.49402922192442,1.0
25,5,0,5,6,[117.25187832749276],117.25187832749276,147.49402922192442,1.0
26,5,0,6,7,[113.43623595623639],113.43623595623639,147.49402922192442,1.0
27,5,0,7,8,[142.20137342601748],142.20137342601748,147.49402922192442,1.0
28,5,0,8,9,[125.78672619143359],125.78672619143359,147.49402922192442,1.0
29,5,0,9,10,[157.3709982220219],157.3709982220219,157.3709982220219,1.0
30,5,0,10,11,[150.35400489203658],150.35400489203658,157.3709982220219,1.0
31,5,0,11,12,[151.04621599946466],151.04621599946466,157.3709982220219,1.0
32,5,0,12,13,[121.92929330241844],121.92929330241844,157.3709982220219,1.0
33,5,0,13,14,[158.1333799161532],158.1333799161532,158.1333799161532,1.0
34,5,0,14,15,[152.22068911320298],152.22068911320298,158.1333799161532,1.0
35,5,0,15,16,[139.34604170468722],139.34604170468722,158.1333799161532,1.0
36,5,0,16,17,[137.6825662628294],137.6825662628294,158.1333799161532,1.0
37,5,0,17,18,[141.99720450911195],141.99720450911195,158.1333799161532,1.0
38,5,0,18,19,[133.96956615054],133.96956615054,158.1333799161532,1.0
